rank,artist,title,original_release_year
1,Sinead O'Connor,NOTHING COMPARES 2 U,1990
2,Prince,PURPLE RAIN,1984
3,Dire Straits,BROTHERS IN ARMS,1985
4,Queen,BOHEMIAN RHAPSODY,1975
5,The Doors,RIDERS ON THE STORM,1971
6,Bruce Springsteen,STREETS OF PHILADELPHIA,1994
7,Archive,AGAIN,2002
8,Peter Gabriel & Kate Bush,DON'T GIVE UP,1986
9,Led Zeppelin,STAIRWAY TO HEAVEN,1971
10,Eagles,HOTEL CALIFORNIA,1977
11,The Animals,HOUSE OF THE RISING SUN,1964
12,John Lennon,IMAGINE,1971
13,Deep Purple,CHILD IN TIME,1970
14,Alphaville,FOREVER YOUNG,1984
15,Louis Armstrong,WHAT A WONDERFUL WORLD,1967
16,Guns N' Roses,NOVEMBER RAIN,1992
17,The Police,EVERY BREATH YOU TAKE,1983
18,Pink Floyd,WISH YOU WERE HERE,1975
19,Marillion,KAYLEIGH,1985
20,Kate Bush,RUNNING UP THAT HILL,1985
21,The Cranberries,ZOMBIE,1994
22,Phil Collins,IN THE AIR TONIGHT,1981
23,Metallica,NOTHING ELSE MATTERS,1992
24,Barbra Streisand,WOMAN IN LOVE,1980
25,Nirvana,SMELLS LIKE TEEN SPIRIT,1991
26,Frank Sinatra,MY WAY,1969
27,Depeche Mode,ENJOY THE SILENCE,1990
28,Radiohead,CREEP,1992
29,Red Hot Chili Peppers,CALIFORNICATION,1999
30,George Michael,CARELESS WHISPER,1984
31,U2,ONE,1992
32,Simon And Garfunkel,THE SOUND OF SILENCE,1965
33,Black Sabbath,PARANOID,1970
34,Omega,GYÖNGYHAJÚ LÁNY (DZIEWCZYNA O PERŁOWYCH WŁOSACH),1969
35,Sting,SHAPE OF MY HEART,1993
36,AC/DC,THUNDERSTRUCK,1990
37,ABC,THE LOOK OF LOVE,1982
38,Led Zeppelin,KASHMIR,1975
39,The Beatles,YESTERDAY,1965
40,Amy Winehouse,BACK TO BLACK,2006
41,Genesis,MAMA,1983
42,a-ha,TAKE ON ME,1985
43,Sting,ENGLISHMAN IN NEW YORK,1988
44,AC/DC,HIGHWAY TO HELL,1979
45,R.E.M.,LOSING MY RELIGION,1991
46,Eric Clapton,TEARS IN HEAVEN,1992
47,Pink Floyd,HIGH HOPES,1994
48,Phil Collins,ANOTHER DAY IN PARADISE,1989
49,David Bowie & Pat Metheny,THIS IS NOT AMERICA,1985
50,Tina Turner & David Bowie,TONIGHT (LIVE),1979
51,Monty Python,ALWAYS LOOK ON THE BRIGHT SIDE OF LIFE,1979
52,Chris Isaak,WICKED GAME,1989
53,Europe,THE FINAL COUNTDOWN,1986
54,Dire Straits,SULTANS OF SWING,1978
55,Bee Gees,STAYIN' ALIVE,1977
56,Gotye feat. Kimbra,SOMEBODY THAT I USED TO KNOW,2011
57,Iggy Pop,THE PASSENGER,1977
58,Bob Marley,"NO WOMAN, NO CRY",1975
59,Eurythmics,SWEET DREAMS (ARE MADE OF THIS),1983
60,King Crimson,EPITAPH,1969
61,Black,WONDERFUL LIFE,1986
62,Nirvana,COME AS YOU ARE,1992
63,Pink Floyd,COMFORTABLY NUMB,1979
64,The Police,ROXANNE,1978
65,Berlin,TAKE MY BREATH AWAY,1986
66,Queen & David Bowie,UNDER PRESSURE,1981
67,Sting,FRAGILE,1987
68,U2,WITH OR WITHOUT YOU,1987
69,Pink Floyd,ANOTHER BRICK IN THE WALL PART II,1979
70,Bobby McFerrin,"DON'T WORRY, BE HAPPY",1988
71,Tina Turner,PRIVATE DANCER,1984
72,Toto,AFRICA,1982
73,The Rolling Stones,ANGIE,1973
74,Bronski Beat,SMALLTOWN BOY,1984
75,ABBA,DANCING QUEEN,1976
76,David Bowie,LET'S DANCE,1983
77,Dire Straits,MONEY FOR NOTHING,1985
78,Sade,SMOOTH OPERATOR,1984
79,Foreigner,I WANT TO KNOW WHAT LOVE IS,1984
80,Adele,SOMEONE LIKE YOU (LIVE),2011
81,Leonard Cohen,DANCE ME TO THE END OF LOVE,1984
82,Eric Clapton,LAYLA (UNPLUGGED),1970
83,Frankie Goes To Hollywood,THE POWER OF LOVE,1984
84,R.E.M.,EVERYBODY HURTS,1993
85,Bob Dylan,KNOCKIN' ON HEAVEN'S DOOR,1973
86,Ultravox,DANCING WITH TEARS IN MY EYES,1984
87,Aerosmith,DREAM ON,1973
88,INXS,NEVER TEAR US APART,1988
89,ABBA,THE WINNER TAKES IT ALL,1980
90,Procol Harum,A WHITER SHADE OF PALE,1967
91,Chris de Burgh,THE LADY IN RED,1986
92,Nick Cave & Kylie Minogue,WHERE THE WILD ROSES GROW,1995
93,Chuck Mangione,CHILDREN OF SANCHEZ,1978
94,Alanis Morissette,IRONIC,1996
95,Patrick Swayze,SHE'S LIKE THE WIND,1987
96,Scorpions,WIND OF CHANGE,1991
97,David Bowie,SPACE ODDITY,1969
98,Red Hot Chili Peppers,UNDER THE BRIDGE,1992
99,Depeche Mode,PERSONAL JESUS,1989
100,Whitney Houston,I WILL ALWAYS LOVE YOU,1992
101,Queen,THE SHOW MUST GO ON,1991
102,The Cars,DRIVE,1984
103,Nick Cave & The Bad Seeds,INTO MY ARMS,1997
104,Joy Division,LOVE WILL TEAR US APART,1980
105,Michael Jackson,BILLIE JEAN,1983
106,Katie Melua,NINE MILLION BICYCLES,2005
107,Jean Michel Jarre,OXYGENE 4,1976
108,Madonna,FROZEN,1998
109,Leonard Cohen,HALLELUJAH,1984
110,Suzanne Vega,LUKA,1987
111,Queen,INNUENDO,1991
112,The Cure,LULLABY,1989
113,Adele,SKYFALL,2012
114,Phil Collins,AGAINST ALL ODDS (TAKE A LOOK AT ME NOW),1984
115,Ennio Morricone,CHI MAI,1971
116,Mike Oldfield,TUBULAR BELLS,1973
117,Deep Purple,PERFECT STRANGERS,1984
118,Metallica,MASTER OF PUPPETS,1986
119,Tanita Tikaram,TWIST IN MY SOBRIETY,1988
120,Buena Vista Social Club,CHAN CHAN,1997
121,Candy Dulfer & Dave Stewart,LILY WAS HERE,1989
122,Rod Stewart,SAILING,1975
123,Rage Against The Machine,KILLING IN THE NAME,1992
124,Deep Purple,SMOKE ON THE WATER,1972
125,The Beatles,HEY JUDE,1968
126,Lady Gaga & Bradley Cooper,SHALLOW,2018
127,Pink Floyd,SHINE ON YOU CRAZY DIAMOND,1975
128,Pink Floyd,HEY YOU,1979
129,No Doubt,DON'T SPEAK,1995
130,USA For Africa,WE ARE THE WORLD,1985
131,The Alan Parsons Project,DON'T ANSWER ME,1984
132,Kraftwerk,DAS MODEL,1978
133,Sting,FIELDS OF GOLD,1993
134,Pearl Jam,JEREMY,1991
135,Roxette,LISTEN TO YOUR HEART,1988
136,Vangelis,CHARIOTS OF FIRE,1981
137,The Moody Blues,NIGHTS IN WHITE SATIN,1967
138,"Bryan Adams, Rod Stewart, Sting",ALL FOR LOVE,1993
139,Bruce Springsteen,BORN IN THE U.S.A.,1984
140,Classix Nouveaux,NEVER NEVER COMES,1983
141,Michael Kiwanuka,COLD LITTLE HEART,2016
