rank,artist,title,youtube_views,youtube_url,youtube_upload_date,youtube_video_title,original_release_year
1,Sinead O'Connor,NOTHING COMPARES 2 U,546533272,https://www.youtube.com/watch?v=0-EF60neguk,,Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],
2,Prince,PURPLE RAIN,270537812,https://www.youtube.com/watch?v=TvnYmWpD_T8,,Prince - Purple Rain (Official Video),2000.0
3,Dire Straits,BROTHERS IN ARMS,218012401,https://www.youtube.com/watch?v=jhdFe3evXpk,,Dire Straits - Brothers In Arms (Official Music Video),
4,Queen,BOHEMIAN RHAPSODY,2011879253,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,,Queen – Bohemian Rhapsody (Official Video Remastered),
5,The Doors,RIDERS ON THE STORM,128821637,https://www.youtube.com/watch?v=iv8GW1GaoIc,,The Doors - Riders On The Storm,
6,Bruce Springsteen,STREETS OF PHILADELPHIA,229075619,https://www.youtube.com/watch?v=4z2DtNW79sQ,,Bruce Springsteen - Streets of Philadelphia (Official Video),
7,Archive,AGAIN,14501218,https://www.youtube.com/watch?v=r7rF2EZ0A_0,,Archive - Again,
8,Peter Gabriel & Kate Bush,DON'T GIVE UP,64045643,https://www.youtube.com/watch?v=VjEq-r2agqc,,Peter Gabriel - Don't Give Up (ft. Kate Bush),
9,Led Zeppelin,STAIRWAY TO HEAVEN,208569081,https://www.youtube.com/watch?v=2cZ_EFAmj08,,Heart - Stairway to Heaven Led Zeppelin - Kennedy Center Honors HD,
10,Eagles,HOTEL CALIFORNIA,770726121,https://www.youtube.com/watch?v=09839DpTctU,,Eagles - Hotel California (Live 1977) (Official Video) [HD],
11,The Animals,HOUSE OF THE RISING SUN,198137691,https://www.youtube.com/watch?v=N4bFqW_eu2I,,The Animals - House Of The Rising Sun (Music Video) [4K HD],
12,John Lennon,IMAGINE,336215004,https://www.youtube.com/watch?v=YkgkThdzX-8,,"IMAGINE. (Ultimate Mix, 2020) - John Lennon & The Plastic Ono Band (with the Flux Fiddlers) HD",
13,Deep Purple,CHILD IN TIME,199476659,https://www.youtube.com/watch?v=OorZcOzNcgE,,Deep Purple - Child In Time - Live (1970),
14,Alphaville,FOREVER YOUNG,84341314,https://www.youtube.com/watch?v=YHRvDo8rUoQ,,Alphaville - Forever Young (Official Video HD),
15,Louis Armstrong,WHAT A WONDERFUL WORLD,132388722,https://www.youtube.com/watch?v=A3yCcXgbKrE,,Louis Armstrong - What A Wonderful World (Lyrics),
16,Guns N' Roses,NOVEMBER RAIN,2383888122,https://www.youtube.com/watch?v=8SbUC-UaAxE,,Guns N' Roses - November Rain,
17,The Police,EVERY BREATH YOU TAKE,1574092696,https://www.youtube.com/watch?v=OMOGaugKpzs,,The Police - Every Breath You Take (Official Music Video),
18,Pink Floyd,WISH YOU WERE HERE,262106476,https://www.youtube.com/watch?v=IXdNnw99-Ic,,Pink Floyd - Wish You Were Here,
19,Marillion,KAYLEIGH,3516428,https://www.youtube.com/watch?v=0SUuEwhQ4ec,,MARILLION - Intro + Kayleigh + Lavender,
20,Kate Bush,RUNNING UP THAT HILL,369460424,https://www.youtube.com/watch?v=wp43OdtAAkM,,Kate Bush - Running Up That Hill - Official Music Video,
21,The Cranberries,ZOMBIE,1776552268,https://www.youtube.com/watch?v=6Ejga4kJUts,,The Cranberries - Zombie (Official Music Video),
22,Phil Collins,IN THE AIR TONIGHT,326586782,https://www.youtube.com/watch?v=YkADj0TPrJA,,Phil Collins - In The Air Tonight (Official Music Video),
23,Metallica,NOTHING ELSE MATTERS,1581905010,https://www.youtube.com/watch?v=tAGnKpE4NCI,,Metallica: Nothing Else Matters (Official Music Video),
24,Barbra Streisand,WOMAN IN LOVE,49736418,https://www.youtube.com/watch?v=tskm5LWYmIM,,Barbra Streisand -Woman In Love,
25,Nirvana,SMELLS LIKE TEEN SPIRIT,2109654722,https://www.youtube.com/watch?v=hTWKbfoikeg,,Nirvana - Smells Like Teen Spirit (Official Music Video),
26,Frank Sinatra,MY WAY,300497924,https://www.youtube.com/watch?v=qQzdAsjWGPg,,My Way (2008 Remastered),
27,Depeche Mode,ENJOY THE SILENCE,516573861,https://www.youtube.com/watch?v=aGSKrC7dGcY,,Depeche Mode - Enjoy the Silence,
28,Radiohead,CREEP,1351842256,https://www.youtube.com/watch?v=XFkzRNyygfk,,Radiohead - Creep,
29,Red Hot Chili Peppers,CALIFORNICATION,1326640129,https://www.youtube.com/watch?v=YlUKcNNmywk,,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],
30,George Michael,CARELESS WHISPER,1504184717,https://www.youtube.com/watch?v=izGwDsrQ1eQ,,George Michael - Careless Whisper (Official Video),
31,U2,ONE,257176588,https://www.youtube.com/watch?v=ZpDQJnI4OhU,,"Mary J. Blige, U2 - One (Official Music Video)",
32,Simon And Garfunkel,THE SOUND OF SILENCE,182112907,https://www.youtube.com/watch?v=NAEppFUWLfc,,Simon & Garfunkel - The Sound of Silence (from The Concert in Central Park),
33,Black Sabbath,PARANOID,367305648,https://www.youtube.com/watch?v=0qanF-91aJo,,"BLACK SABBATH - ""Paranoid"" (Official Video)",
34,Omega,GYÖNGYHAJÚ LÁNY (DZIEWCZYNA O PERŁOWYCH WŁOSACH),15268771,https://www.youtube.com/watch?v=SNLsmh_otYs,,"Omega - The Girl With The Pearl's Hair (org. ""Gyöngyhajú lány"")",
35,Sting,SHAPE OF MY HEART,397586147,https://www.youtube.com/watch?v=QK-Z1K67uaA,,Sting - Shape of My Heart (Leon),
